shifted_time,Predicted_KWH,machine_type
18-02-2026,17.208,YWNC2_CONE
18-02-2026,9.696,YWNC3_CUP
18-02-2026,8.448,YWNC3_CONE
18-02-2026,12.816,YWNC2_CUP
19-02-2026,32.94749963,YWNC2_CONE
19-02-2026,29.9873842,YWNC3_CONE
19-02-2026,41.42190158,YWNC3_CUP
19-02-2026,45.13363385,YWNC2_CUP
20-02-2026,29.96672177,YWNC3_CONE
20-02-2026,41.06154287,YWNC3_CUP
20-02-2026,33.61343539,YWNC2_CONE
20-02-2026,52.1162107,YWNC2_CUP
21-02-2026,47.53836238,YWNC2_CUP
21-02-2026,33.08004177,YWNC2_CONE
21-02-2026,28.81639963,YWNC3_CONE
21-02-2026,36.53085697,YWNC3_CUP
22-02-2026,16.71490289,YWNC3_CUP
22-02-2026,22.40445745,YWNC2_CONE
22-02-2026,14.96614924,YWNC3_CONE
22-02-2026,21.35592768,YWNC2_CUP
23-02-2026,37.97210395,YWNC2_CUP
23-02-2026,37.42922974,YWNC3_CUP
23-02-2026,32.58025515,YWNC2_CONE
23-02-2026,29.46807361,YWNC3_CONE
24-02-2026,42.91346681,YWNC2_CUP
24-02-2026,33.49084008,YWNC2_CONE
24-02-2026,30.51821601,YWNC3_CONE
24-02-2026,38.93067324,YWNC3_CUP
